Nom,Prix,Prix réduit,Lien,Site web,Catégorie,Date de collecte
"MSI GF63 Thin 11UD-1043XFR – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","10,590.00MAD","11,590.00MAD",https://setupgame.ma/produit/pc-portable-gamer-rtx-3050ti-msi-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"MSI GF63 Thin 11UD-1043XFR – Core™ i5 11th, RTX 3050Ti, 16GB, 512GB","10,990.00MAD","11,990.00MAD",https://setupgame.ma/produit/pc-portable-gamer-rtx-3050ti-msi-prix-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"Gigabyte G5 KF – Core™ i5 12th, RTX 4060, 16GB, 512GB","10,990.00MAD","13,190.00MAD",https://setupgame.ma/produit/pc-portable-gaming-gigabyte-g5-kf-rtx-4060/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Cloud Alpha S ( Noir ),"1,199.00MAD","1,499.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-alpha-s-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Alloy Origins 60,"1,199.00MAD","1,399.00MAD",https://setupgame.ma/produit/clavier-gamer-hyperx-alloy-origins-60-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Quadcast S Noir,"1,649.00MAD","2,149.00MAD",https://setupgame.ma/produit/microphone-hyperx-quadcast-s-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Cloud Stinger 2 Core (PC),499.00MAD,599.00MAD,https://setupgame.ma/produit/hyperx-cloud-stinger-2-core-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Cloud III ( Noir ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Cloud Alpha Rouge,899.00MAD,"1,099.00MAD",https://setupgame.ma/produit/hyperx-cloud-alpha-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
HyperX Cloud III ( Rouge ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
Y60 – INTEL CORE ULTRA 7 265KF-RTX 4060Ti 16Go,"25,899.00MAD","29,799.00MAD",https://setupgame.ma/produit/pc-gamer-ultra-7-265kf-rtx-4060ti-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"MSI GF63 11SC-659XMA – Core™ i7 11th, GTX 1650, 16GB, 512GB","10,999.00MAD","14,499.00MAD",https://setupgame.ma/produit/msi-gf63-thin-11sc-gtx-1650-i7-11th/,Setup Game,PC Portable,2025-02-03 01:44:27
"HP OMEN 15-EK0002NK – Core™ i7 10th, GTX 1660Ti, 32GB, 1To","10,999.00MAD","13,199.00MAD",https://setupgame.ma/produit/pc-portable-hp-omen-15-ek0002nk-gtx-1660ti/,Setup Game,PC Portable,2025-02-03 01:44:27
"MSI Thin GF63 12UC – Core™ i7 12th, RTX 3050, 16GB, 512GB","11,490.00MAD","13,690.00MAD",https://setupgame.ma/produit/pc-portable-msi-thin-gf63-12uc-i7-12650h-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
"Dell G15 5510 – Core™ i7 10th, RTX 3060, 16GB, 512GB","11,990.00MAD","15,490.00MAD",https://setupgame.ma/produit/pc-portable-gaming-dell-g15-5510-rtx-3060/,Setup Game,PC Portable,2025-02-03 01:44:27
"Pc Portable Gaming ACER NITRO 5 AN515-57-529L – RTX 3070, Core™ i5 11th Génération – NEUF SANS EMBALLAGE","11,990.00MAD","13,490.00MAD",https://setupgame.ma/produit/pc-portable-gaming-rtx-3070-acer-nitro-5/,Setup Game,PC Portable,2025-02-03 01:44:27
"Dell G15 5511 – Core™ i7 11th, RTX 3050Ti, 16GB, 512GB","11,990.00MAD","13,990.00MAD",https://setupgame.ma/produit/dell-g15-i7-11th-rtx-3050ti-16gb/,Setup Game,PC Portable,2025-02-03 01:44:27
"MSI BRAVO 15 B5DD-299XMA – Ryzen R7-5800H, RX 5500M, 16GB, 512GB","12,999.00MAD","14,499.00MAD",https://setupgame.ma/produit/pc-portable-msi-bravo-15-b5dd-299xma/,Setup Game,PC Portable,2025-02-03 01:44:27
"LENOVO LOQ 15IRX9 – Core™ i7 13th, RTX 4050, 16GB, 512GB","13,899.00MAD","15,399.00MAD",https://setupgame.ma/produit/pc-portable-lenovo-loq-15irx9-rtx-4050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
"MSI Cyborg 15 A12VE – Core™ i7 12th, RTX 4050, 16GB, 512GB","13,990.00MAD","16,790.00MAD",https://setupgame.ma/produit/pc-portable-gamer-msi-rtx-4050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
"MSI Cyborg 15 A13VE – Core™ i7 13th, RTX 4050, 16GB, 512GB","14,490.00MAD","17,390.00MAD",https://setupgame.ma/produit/pc-portable-msi-cyborg-15-a13ve-rtx-4050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Cloud Alpha S ( Noir ),"1,199.00MAD","1,499.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-alpha-s-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Alloy Origins 60,"1,199.00MAD","1,399.00MAD",https://setupgame.ma/produit/clavier-gamer-hyperx-alloy-origins-60-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Quadcast S Noir,"1,649.00MAD","2,149.00MAD",https://setupgame.ma/produit/microphone-hyperx-quadcast-s-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Cloud Stinger 2 Core (PC),499.00MAD,599.00MAD,https://setupgame.ma/produit/hyperx-cloud-stinger-2-core-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Cloud III ( Noir ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Cloud Alpha Rouge,899.00MAD,"1,099.00MAD",https://setupgame.ma/produit/hyperx-cloud-alpha-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
HyperX Cloud III ( Rouge ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
Y60 – INTEL CORE ULTRA 7 265KF-RTX 4060Ti 16Go,"25,899.00MAD","29,799.00MAD",https://setupgame.ma/produit/pc-gamer-ultra-7-265kf-rtx-4060ti-maroc/,Setup Game,PC Portable,2025-02-03 01:44:27
"Dell G15 5511 – Core™ i7 11th, RTX 3060, 16GB, 1TB","14,590.00MAD","16,590.00MAD",https://setupgame.ma/produit/pc-portable-gaming-dell-g15-5511-rtx-3060/,Setup Game,PC Portable,2025-02-03 01:44:30
"Dell G15 5511 – Core™ i7 11th, RTX 3060, 32GB, 1TB","14,990.00MAD","16,990.00MAD",https://setupgame.ma/produit/pc-portable-gaming-dell-g15-i7-11th-rtx-3060/,Setup Game,PC Portable,2025-02-03 01:44:30
