Nom,Prix,Site web,Catégorie,Date de collecte,Promotions
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",65.00 Dhs,Jumia.ma,Mounts,2025-02-03 01:14:22,Aucune
Canon Cartouche CL-446 Color,199.00 Dhs,Jumia.ma,Inkjet Printer Ink,2025-02-03 01:14:22,Aucune
"TP-Link CLE USB Bluetooth 5.0 pour PC , smartphone",133.00 Dhs,Jumia.ma,Network Adapters,2025-02-03 01:14:22,Aucune
Sac à dos d'affaires USB multifonctionnel étanche voyage sac à dos pour pc -noir,277.00 Dhs,Jumia.ma,"Bags, Cases & Sleeves",2025-02-03 01:14:22,Aucune
Hp PC GAMER i5 6éme Gén - 16GB RAM - 256GB SSD / 500GB HDD - NVIDIA GT 730 2GB - remis à neuf,"1,980.00 Dhs",Jumia.ma,Desktops,2025-02-03 01:14:22,Aucune
Canon Imprimante PIXMA G3410 multifonction à réservoirs rechargeables,"1,499.00 Dhs",Jumia.ma,Multi-Function Printers,2025-02-03 01:14:22,Aucune
Adaptateur USB Type C Vers HDMI 4k USB 3.0 Convertisseur Hub pour MacBook Pro,75.00 Dhs,Jumia.ma,HDMI-to-VGA Adapters,2025-02-03 01:14:22,Aucune
Orico Clé Bluetooth 5.0 de Transmission Rapide à Longue Distance de 20M,49.00 Dhs,Jumia.ma,Network Adapters,2025-02-03 01:14:22,Aucune
"Mini lecteur de carte mémoire Flash TF, USB 2.0, Micro SD, adaptateur pour pc",12.00 Dhs,Jumia.ma,Memory Card Readers,2025-02-03 01:14:22,Aucune
Adaptateur Hight Qaulity Type C  4 in 1  HDMI+VGA+USB 3.0+DP,125.00 Dhs,Jumia.ma,HDMI-to-VGA Adapters,2025-02-03 01:14:22,Aucune
Pack Bouteilles d'encre adaptable GI-490 pour les imprimantes à rèservoires PIXMA G1400/G1410/G1411/G2410/G2400/G2411/G3400/G3410/G3411/G4400/G4411,145.00 Dhs,Jumia.ma,Inkjet Printer Ink,2025-02-03 01:14:22,Aucune
XIAOMI Mi Router AX1800 GL (4 Antennes - Wifi 6) - 1 an de garantie,379.00 Dhs,Jumia.ma,Routers,2025-02-03 01:14:22,Aucune
